Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variation,GP-FLH-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,129.9,149.0,,,,,,,GP-FLH-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FSSH-VAR,Fleurs CBD Super Silver Haze Indoor,1,0,visible,Arômes terreux et épicés avec une touche sucrée. Effets cérébraux et dynamiques. CBD ~21%.,"Découvrez notre Fleurs CBD Super Silver Haze Indoor de qualité premium. Arômes terreux et épicés avec une touche sucrée. Effets cérébraux et dynamiques. CBD ~21%. Taux de CBD : 21%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, super silver haze, dynamique",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FSSH-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FSSH-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FSSH-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,12.9,,,,,,,GP-FSSH-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FSSH-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.0,,,,,,,GP-FSSH-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FSSH-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,34.9,39.0,,,,,,,GP-FSSH-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FSSH-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,74.9,84.0,,,,,,,GP-FSSH-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FSSH-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,129.9,149.0,,,,,,,GP-FSSH-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FCH-VAR,Fleurs CBD Cheese Indoor,1,0,visible,Arômes fromager caractéristiques et notes épicées. Détente et apaisement. CBD ~18%.,"Découvrez notre Fleurs CBD Cheese Indoor de qualité premium. Arômes fromager caractéristiques et notes épicées. Détente et apaisement. CBD ~18%. Taux de CBD : 18%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, cheese, apaisement",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FCH-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FCH-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FCH-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,12.9,,,,,,,GP-FCH-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FCH-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.0,,,,,,,GP-FCH-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FCH-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,34.9,39.0,,,,,,,GP-FCH-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FCH-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,74.9,84.0,,,,,,,GP-FCH-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FCH-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,129.9,149.0,,,,,,,GP-FCH-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FGEL-VAR,Fleurs CBD Gelato Indoor,1,0,visible,Arômes sucrés de dessert aux notes de fruits rouges et de menthe. CBD ~23%.,"Découvrez notre Fleurs CBD Gelato Indoor de qualité premium. Arômes sucrés de dessert aux notes de fruits rouges et de menthe. CBD ~23%. Taux de CBD : 23%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, gelato, premium, fruits rouges",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_gorilla.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FGEL-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,6.9,,,,,,,GP-FGEL-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FGEL-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,14.9,16.9,,,,,,,GP-FGEL-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FGEL-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,22.9,26.0,,,,,,,GP-FGEL-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FGEL-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,39.9,45.0,,,,,,,GP-FGEL-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FGEL-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,84.9,99.0,,,,,,,GP-FGEL-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FGEL-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,149.9,179.0,,,,,,,GP-FGEL-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FWC-VAR,Fleurs CBD Wedding Cake Indoor,1,0,visible,Arômes vanillés et sucrés de gâteau. Relaxation profonde et bien-être. CBD ~24%.,"Découvrez notre Fleurs CBD Wedding Cake Indoor de qualité premium. Arômes vanillés et sucrés de gâteau. Relaxation profonde et bien-être. CBD ~24%. Taux de CBD : 24%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, wedding cake, premium, relaxation",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_gorilla.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FWC-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,6.9,,,,,,,GP-FWC-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FWC-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,14.9,16.9,,,,,,,GP-FWC-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FWC-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,22.9,26.0,,,,,,,GP-FWC-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FWC-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,39.9,45.0,,,,,,,GP-FWC-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FWC-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,84.9,99.0,,,,,,,GP-FWC-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FWC-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,149.9,179.0,,,,,,,GP-FWC-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FCR-VAR,Fleurs CBD Critical Greenhouse,1,0,visible,Arômes sucrés et fruités. Bon rapport qualité/prix. CBD ~15%.,"Découvrez notre Fleurs CBD Critical Greenhouse de qualité premium. Arômes sucrés et fruités. Bon rapport qualité/prix. CBD ~15%. Taux de CBD : 15%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, greenhouse, critical, rapport qualité prix",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FCR-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,3.5,4.0,,,,,,,GP-FCR-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FCR-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,8.9,10.0,,,,,,,GP-FCR-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FCR-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,12.9,15.0,,,,,,,GP-FCR-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FCR-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,22.9,27.0,,,,,,,GP-FCR-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FCR-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,44.9,54.0,,,,,,,GP-FCR-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FCR-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,79.9,99.0,,,,,,,GP-FCR-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FBD-VAR,Fleurs CBD Blue Dream Greenhouse,1,0,visible,Arômes de myrtille et de vanille. Effets équilibrés. CBD ~16%.,"Découvrez notre Fleurs CBD Blue Dream Greenhouse de qualité premium. Arômes de myrtille et de vanille. Effets équilibrés. CBD ~16%. Taux de CBD : 16%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, greenhouse, blue dream, équilibré",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FBD-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,3.5,4.0,,,,,,,GP-FBD-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FBD-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,8.9,10.0,,,,,,,GP-FBD-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FBD-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,12.9,15.0,,,,,,,GP-FBD-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FBD-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,22.9,27.0,,,,,,,GP-FBD-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FBD-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,44.9,54.0,,,,,,,GP-FBD-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FBD-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,79.9,99.0,,,,,,,GP-FBD-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FLHG-VAR,Fleurs CBD Lemon Haze Greenhouse,1,0,visible,Arômes citronnés frais. Bon rapport qualité/prix pour une variété populaire. CBD ~15%.,"Découvrez notre Fleurs CBD Lemon Haze Greenhouse de qualité premium. Arômes citronnés frais. Bon rapport qualité/prix pour une variété populaire. CBD ~15%. Taux de CBD : 15%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, greenhouse, lemon haze, citron",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FLHG-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,3.5,4.0,,,,,,,GP-FLHG-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FLHG-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,8.9,10.0,,,,,,,GP-FLHG-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FLHG-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,12.9,15.0,,,,,,,GP-FLHG-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FLHG-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,22.9,27.0,,,,,,,GP-FLHG-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FLHG-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,44.9,54.0,,,,,,,GP-FLHG-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FLHG-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,79.9,99.0,,,,,,,GP-FLHG-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FWW-VAR,Fleurs CBD White Widow Outdoor Bio,1,0,visible,Culture biologique en plein air. Arômes terreux et boisés. CBD ~12%.,"Découvrez notre Fleurs CBD White Widow Outdoor Bio de qualité premium. Culture biologique en plein air. Arômes terreux et boisés. CBD ~12%. Taux de CBD : 12%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, outdoor, bio, white widow, naturel",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,3g | 5g | 10g | 25g | 50g | 100g,1,1,,,,
variation,GP-FWW-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FWW-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FWW-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,8.9,9.9,,,,,,,GP-FWW-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FWW-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,14.9,17.0,,,,,,,GP-FWW-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FWW-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,29.9,35.0,,,,,,,GP-FWW-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FWW-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,49.9,60.0,,,,,,,GP-FWW-VAR,,,,,,,Grammage,50g,1,1,,,,
variation,GP-FWW-100g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,79.9,100.0,,,,,,,GP-FWW-VAR,,,,,,,Grammage,100g,1,1,,,,
variable,GP-FBDO-VAR,Fleurs CBD Blue Dream Outdoor Bio,1,0,visible,Culture biologique. Arômes fruités et herbal. Idéal pour les petits budgets. CBD ~11%.,"Découvrez notre Fleurs CBD Blue Dream Outdoor Bio de qualité premium. Culture biologique. Arômes fruités et herbal. Idéal pour les petits budgets. CBD ~11%. Taux de CBD : 11%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, outdoor, bio, blue dream, budget",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,3g | 5g | 10g | 25g | 50g | 100g,1,1,,,,
variation,GP-FBDO-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FBDO-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FBDO-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,8.9,9.9,,,,,,,GP-FBDO-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FBDO-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,14.9,17.0,,,,,,,GP-FBDO-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FBDO-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,29.9,35.0,,,,,,,GP-FBDO-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FBDO-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,49.9,60.0,,,,,,,GP-FBDO-VAR,,,,,,,Grammage,50g,1,1,,,,
variation,GP-FBDO-100g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,79.9,100.0,,,,,,,GP-FBDO-VAR,,,,,,,Grammage,100g,1,1,,,,
variable,GP-FSK-VAR,Fleurs CBD Strawberry Kush Outdoor Bio,1,0,visible,Arômes de fraise fraîche et notes herbacées. Production plein air biologique. CBD ~13%.,"Découvrez notre Fleurs CBD Strawberry Kush Outdoor Bio de qualité premium. Arômes de fraise fraîche et notes herbacées. Production plein air biologique. CBD ~13%. Taux de CBD : 13%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, outdoor, bio, strawberry, fruité",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,3g | 5g | 10g | 25g | 50g | 100g,1,1,,,,
variation,GP-FSK-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FSK-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FSK-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,8.9,9.9,,,,,,,GP-FSK-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FSK-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,14.9,17.0,,,,,,,GP-FSK-VAR,,,,,,,Grammage,10g,1,1,,,,
